sample,count,class,species,genus,method,is_full_species,prop_count,aligned_species
CROP_0704,203,Aves,Columba,Columba,eDNA,FALSE,0.005781499,Columba
CROP_0708,121,Aves,Columba,Columba,eDNA,FALSE,0.00335617,Columba
CROP_0709,741,Aves,Columba,Columba,eDNA,FALSE,0.012845182,Columba
CROP_0710,627,Aves,Columba,Columba,eDNA,FALSE,0.016472257,Columba
CROP_0801,151,Aves,Columba,Columba,eDNA,FALSE,0.002548781,Columba
CROP_0805,668,Aves,Columba,Columba,eDNA,FALSE,0.010184945,Columba
CROP_0806,1178,Aves,Columba,Columba,eDNA,FALSE,0.018889103,Columba
CROP_0807,1237,Aves,Columba,Columba,eDNA,FALSE,0.0212142,Columba
CROP_0808,113,Aves,Columba,Columba,eDNA,FALSE,0.009338071,Columba
CROP_0808,164,Aves,Columba,Columba,eDNA,FALSE,0.013552599,Columba
CROP_0809,206,Aves,Columba,Columba,eDNA,FALSE,0.003267456,Columba
CROP_0810,970,Aves,Columba,Columba,eDNA,FALSE,0.021959115,Columba
CROP_0811,355,Aves,Columba,Columba,eDNA,FALSE,0.005804447,Columba
CROP_0812,3290,Aves,Columba,Columba,eDNA,FALSE,0.056062981,Columba
CROP_0813,3787,Aves,Columba,Columba,eDNA,FALSE,0.038116998,Columba
CROP_0814,7897,Aves,Columba,Columba,eDNA,FALSE,0.085289067,Columba
CROP_0902,325,Aves,Columba,Columba,eDNA,FALSE,0.003603224,Columba
CROP_0904,311,Aves,Columba,Columba,eDNA,FALSE,0.003499612,Columba
CROP_0906,224,Aves,Columba,Columba,eDNA,FALSE,0.002820732,Columba
CROP_1001,559,Aves,Columba,Columba,eDNA,FALSE,0.00604782,Columba
CROP_1002,204,Aves,Columba,Columba,eDNA,FALSE,0.002291208,Columba
CROP_1002,702,Aves,Columba,Columba,eDNA,FALSE,0.007884451,Columba
CROP_1004,134,Aves,Columba,Columba,eDNA,FALSE,0.001731803,Columba
CROP_1005,332,Aves,Columba,Columba,eDNA,FALSE,0.003858087,Columba
CROP_1006,160,Aves,Columba,Columba,eDNA,FALSE,0.001659613,Columba
CROP_1007,388,Aves,Columba,Columba,eDNA,FALSE,0.004408239,Columba
CROP_1009,316,Aves,Columba,Columba,eDNA,FALSE,0.004746812,Columba
CROP_1105,277,Aves,Columba,Columba,eDNA,FALSE,0.006358899,Columba
CROP_1106,119,Aves,Columba,Columba,eDNA,FALSE,0.001332855,Columba
CROP_1107,406,Aves,Columba,Columba,eDNA,FALSE,0.004260946,Columba
CROP_1108,265,Aves,Columba,Columba,eDNA,FALSE,0.002708725,Columba
CROP_1110,311,Aves,Columba,Columba,eDNA,FALSE,0.004272095,Columba
CROP_1112,626,Aves,Columba,Columba,eDNA,FALSE,0.009034753,Columba
CROP_1113,1482,Aves,Columba,Columba,eDNA,FALSE,0.018009916,Columba
CROP_1114,240,Aves,Columba,Columba,eDNA,FALSE,0.00198167,Columba
CROP_1114,11236,Aves,Columba,Columba,eDNA,FALSE,0.092775163,Columba
CROP_1203,373,Aves,Columba,Columba,eDNA,FALSE,0.003614376,Columba
CROP_1203,353,Aves,Columba,Columba,eDNA,FALSE,0.003420576,Columba
CROP_1205,1558,Aves,Columba,Columba,eDNA,FALSE,0.013089797,Columba
CROP_1205,710,Aves,Columba,Columba,eDNA,FALSE,0.005965183,Columba
CROP_1206,616,Aves,Columba,Columba,eDNA,FALSE,0.005090825,Columba
CROP_1207,172,Aves,Columba,Columba,eDNA,FALSE,0.003289725,Columba
CROP_1208,224,Aves,Columba,Columba,eDNA,FALSE,0.004291188,Columba
CROP_1210,203,Aves,Columba,Columba,eDNA,FALSE,0.003472638,Columba
CROP_1210,240,Aves,Columba,Columba,eDNA,FALSE,0.004105582,Columba
CROP_1301,151,Aves,Columba,Columba,eDNA,FALSE,0.00404035,Columba
CROP_1301,251,Aves,Columba,Columba,eDNA,FALSE,0.006716078,Columba
CROP_1302,1132,Aves,Columba,Columba,eDNA,FALSE,0.020106215,Columba
CROP_1304,603,Aves,Columba,Columba,eDNA,FALSE,0.009477705,Columba
CROP_1305,1302,Aves,Columba,Columba,eDNA,FALSE,0.013161885,Columba
CROP_1306,101,Aves,Columba,Columba,eDNA,FALSE,0.002903133,Columba
CROP_1306,538,Aves,Columba,Columba,eDNA,FALSE,0.015464214,Columba
CROP_1310,269,Aves,Columba,Columba,eDNA,FALSE,0.005949353,Columba
CROP_0810,1,Aves,Columba_palumbus,Columba,camera,TRUE,0.052631579,Columba
CROP_1310,3,Aves,Columba_palumbus,Columba,camera,TRUE,0.130434783,Columba
CROP_0101,153,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.006353293,Cottus
CROP_0102,66,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.002666343,Cottus
CROP_0103,123,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.010369246,Cottus
CROP_0104,270,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.010082527,Cottus
CROP_0105,469,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.016846869,Cottus
CROP_0106,737,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.030760883,Cottus
CROP_0107,248,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.009561261,Cottus
CROP_0108,475,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.019056407,Cottus
CROP_0109,576,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.014078311,Cottus
CROP_0110,764,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.021013257,Cottus
CROP_0201,442,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.010847158,Cottus
CROP_0202,270,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.009385428,Cottus
CROP_0204,248,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.015922953,Cottus
CROP_0205,656,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.012512875,Cottus
CROP_0206,788,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.012912741,Cottus
CROP_0207,422,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.011414661,Cottus
CROP_0208,358,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.014137345,Cottus
CROP_0209,2016,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.033792618,Cottus
CROP_0210,601,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.015284842,Cottus
CROP_0211,1311,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.026984192,Cottus
CROP_0212,3389,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.063382521,Cottus
CROP_0213,2690,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.089954521,Cottus
CROP_0214,1890,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.051673228,Cottus
CROP_0301,15068,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.170331099,Cottus
CROP_0302,15121,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.172338728,Cottus
CROP_0303,196,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.001893445,Cottus
CROP_0304,16600,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.147429749,Cottus
CROP_0305,13271,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.137482,Cottus
CROP_0306,9725,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.167452993,Cottus
CROP_0307,6600,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.109356619,Cottus
CROP_0308,8052,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.135155096,Cottus
CROP_0309,13475,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.171978099,Cottus
CROP_0310,17456,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.269936753,Cottus
CROP_0401,10922,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.164134469,Cottus
CROP_0402,16766,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.287556813,Cottus
CROP_0403,362,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.004446082,Cottus
CROP_0404,8592,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.119842665,Cottus
CROP_0405,15210,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.096798213,Cottus
CROP_0406,10425,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.084364454,Cottus
CROP_0407,15505,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.155524349,Cottus
CROP_0408,7747,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.144763151,Cottus
CROP_0409,14718,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.155307227,Cottus
CROP_0410,2273,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.030606199,Cottus
CROP_0501,7389,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.231564762,Cottus
CROP_0502,3736,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.121286888,Cottus
CROP_0503,639,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.0188002,Cottus
CROP_0504,9426,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.364346179,Cottus
CROP_0505,7317,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.214436434,Cottus
CROP_0506,6228,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.230983199,Cottus
CROP_0507,12360,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.31838438,Cottus
CROP_0508,19102,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.336048414,Cottus
CROP_0509,11991,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.277968381,Cottus
CROP_0510,9031,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.206116627,Cottus
CROP_0511,7719,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.185258964,Cottus
CROP_0512,12329,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.27474707,Cottus
CROP_0514,11913,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.381313616,Cottus
CROP_0601,4759,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.176802764,Cottus
CROP_0602,8821,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.229075233,Cottus
CROP_0603,776,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.022088754,Cottus
CROP_0604,5820,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.19712776,Cottus
CROP_0605,6384,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.177067732,Cottus
CROP_0606,7664,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.272497778,Cottus
CROP_0607,8734,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.23250366,Cottus
CROP_0608,8130,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.238521344,Cottus
CROP_0609,4385,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.183818906,Cottus
CROP_0610,5866,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.190133541,Cottus
CROP_0701,9020,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.181810852,Cottus
CROP_0702,8637,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.197787854,Cottus
CROP_0703,427,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.014531718,Cottus
CROP_0704,3644,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.103782183,Cottus
CROP_0705,6886,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.079737836,Cottus
CROP_0706,1071,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.025252287,Cottus
CROP_0707,3105,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.068828693,Cottus
CROP_0708,1924,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.053365878,Cottus
CROP_0709,2780,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.0481911,Cottus
CROP_0710,6189,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.162594578,Cottus
CROP_0801,5106,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.086185943,Cottus
CROP_0802,10525,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.166991924,Cottus
CROP_0803,773,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.012495151,Cottus
CROP_0804,3800,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.09739594,Cottus
CROP_0805,10446,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.159269367,Cottus
CROP_0806,16114,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.258386248,Cottus
CROP_0807,11584,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.198662322,Cottus
CROP_0808,1741,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.143872407,Cottus
CROP_0809,3823,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.060638264,Cottus
CROP_0810,7111,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.16098069,Cottus
CROP_0811,6181,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.101062786,Cottus
CROP_0812,25865,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.44075046,Cottus
CROP_0813,41705,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.41977011,Cottus
CROP_0814,9639,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.104102991,Cottus
CROP_0901,4416,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.036548123,Cottus
CROP_0902,15432,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.171092165,Cottus
CROP_0903,533,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.007694307,Cottus
CROP_0904,2166,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.024373502,Cottus
CROP_0905,4927,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.052664771,Cottus
CROP_0906,8131,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.102390067,Cottus
CROP_0907,4009,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.041443975,Cottus
CROP_0908,5599,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.085581523,Cottus
CROP_0909,724,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.011431459,Cottus
CROP_0910,1959,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.031197248,Cottus
CROP_1001,2097,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.022687439,Cottus
CROP_1002,6017,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.067579406,Cottus
CROP_1003,441,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.008037032,Cottus
CROP_1004,824,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.010649297,Cottus
CROP_1005,1330,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.015455591,Cottus
CROP_1006,3543,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.036750062,Cottus
CROP_1007,3503,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.03979913,Cottus
CROP_1008,2277,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.029013392,Cottus
CROP_1009,1870,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.02809031,Cottus
CROP_1010,1808,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.02135904,Cottus
CROP_1101,1474,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.019100934,Cottus
CROP_1102,2474,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.070518485,Cottus
CROP_1103,105,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.001388852,Cottus
CROP_1104,1328,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.014669981,Cottus
CROP_1105,944,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.021670761,Cottus
CROP_1106,2815,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.031529312,Cottus
CROP_1107,4146,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.043512027,Cottus
CROP_1108,2440,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.024940715,Cottus
CROP_1109,1663,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.022800186,Cottus
CROP_1110,1937,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.026607874,Cottus
CROP_1111,2375,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.021794789,Cottus
CROP_1112,2468,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.035619443,Cottus
CROP_1113,5239,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.063666634,Cottus
CROP_1114,7203,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.059474858,Cottus
CROP_1201,652,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.004934572,Cottus
CROP_1202,981,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.012060635,Cottus
CROP_1204,326,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.00512764,Cottus
CROP_1205,3704,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.031119774,Cottus
CROP_1206,1290,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.010660981,Cottus
CROP_1207,510,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.009754418,Cottus
CROP_1208,227,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.004348659,Cottus
CROP_1209,1333,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.016845271,Cottus
CROP_1210,650,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.011119284,Cottus
CROP_1301,2389,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.063923153,Cottus
CROP_1302,11151,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.198060425,Cottus
CROP_1304,5515,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.086682489,Cottus
CROP_1305,20077,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.202957886,Cottus
CROP_1306,11214,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.322334004,Cottus
CROP_1307,4962,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.041769435,Cottus
CROP_1308,2611,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.077255378,Cottus
CROP_1309,3057,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.048621825,Cottus
CROP_1310,2771,Actinopteri,Cottus,Cottus,eDNA,FALSE,0.061284972,Cottus
CROP_0104,77,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.002875387,Cyprinus
CROP_0203,162,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.004003559,Cyprinus
CROP_0204,50,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.003210273,Cyprinus
CROP_0301,625,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.007065101,Cyprinus
CROP_0302,5323,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.060667882,Cyprinus
CROP_0304,828,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.007353725,Cyprinus
CROP_0305,273,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.002828166,Cyprinus
CROP_0306,431,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.00742131,Cyprinus
CROP_0307,494,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.008185177,Cyprinus
CROP_0308,683,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.011464348,Cyprinus
CROP_0309,415,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.005296543,Cyprinus
CROP_0310,482,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.00745357,Cyprinus
CROP_0401,76,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.001142119,Cyprinus
CROP_0708,90,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.002496325,Cyprinus
CROP_0905,491,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.005248306,Cyprinus
CROP_0906,874,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.011005893,Cyprinus
CROP_0910,255,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.004060898,Cyprinus
CROP_1003,692,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.012611398,Cyprinus
CROP_1005,557,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.006472755,Cyprinus
CROP_1007,636,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.007225877,Cyprinus
CROP_1008,122,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.001554516,Cyprinus
CROP_1009,280,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.004206036,Cyprinus
CROP_1106,224,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.002508904,Cyprinus
CROP_1201,208,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.001574219,Cyprinus
CROP_1203,260,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.002519404,Cyprinus
CROP_1207,310,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.005929156,Cyprinus
CROP_1208,120,Actinopteri,Cyprinus,Cyprinus,eDNA,FALSE,0.002298851,Cyprinus
CROP_0813,1428,Mammalia,Dama,Dama,eDNA,FALSE,0.014373138,Dama_dama
CROP_1303,252,Aves,Dendrocopos,Dendrocopos,eDNA,FALSE,0.00271426,Dendrocopos_major
CROP_0609,1,Aves,Dendrocopos_major,Dendrocopos,camera,TRUE,0.027027027,Dendrocopos_major
CROP_0708,1,Aves,Dendrocopos_major,Dendrocopos,camera,TRUE,0.045454545,Dendrocopos_major
CROP_0905,1,Aves,Dendrocopos_major,Dendrocopos,camera,TRUE,0.012195122,Dendrocopos_major
CROP_0701,1,Aves,Egretta_garzetta,Egretta,camera,TRUE,0.010869565,Egretta_garzetta
CROP_0106,81,Aves,Erithacus,Erithacus,eDNA,FALSE,0.003380775,Erithacus_rubecula
CROP_0208,41,Aves,Erithacus,Erithacus,eDNA,FALSE,0.001619081,Erithacus_rubecula
CROP_0401,88,Aves,Erithacus,Erithacus,eDNA,FALSE,0.001322453,Erithacus_rubecula
CROP_0408,199,Aves,Erithacus,Erithacus,eDNA,FALSE,0.003718584,Erithacus_rubecula
CROP_0410,94,Aves,Erithacus,Erithacus,eDNA,FALSE,0.001265721,Erithacus_rubecula
CROP_0501,3501,Aves,Erithacus,Erithacus,eDNA,FALSE,0.109718261,Erithacus_rubecula
CROP_0502,2522,Aves,Erithacus,Erithacus,eDNA,FALSE,0.081875142,Erithacus_rubecula
CROP_0503,374,Aves,Erithacus,Erithacus,eDNA,FALSE,0.01100356,Erithacus_rubecula
CROP_0504,2427,Aves,Erithacus,Erithacus,eDNA,FALSE,0.093811604,Erithacus_rubecula
CROP_0505,1305,Aves,Erithacus,Erithacus,eDNA,FALSE,0.03824512,Erithacus_rubecula
CROP_0506,672,Aves,Erithacus,Erithacus,eDNA,FALSE,0.024923043,Erithacus_rubecula
CROP_0507,802,Aves,Erithacus,Erithacus,eDNA,FALSE,0.020658922,Erithacus_rubecula
CROP_0508,370,Aves,Erithacus,Erithacus,eDNA,FALSE,0.006509157,Erithacus_rubecula
CROP_0509,613,Aves,Erithacus,Erithacus,eDNA,FALSE,0.014210209,Erithacus_rubecula
CROP_0510,435,Aves,Erithacus,Erithacus,eDNA,FALSE,0.009928107,Erithacus_rubecula
CROP_0512,109,Aves,Erithacus,Erithacus,eDNA,FALSE,0.002429023,Erithacus_rubecula
CROP_0514,123,Aves,Erithacus,Erithacus,eDNA,FALSE,0.003937008,Erithacus_rubecula
CROP_0602,137,Aves,Erithacus,Erithacus,eDNA,FALSE,0.003557795,Erithacus_rubecula
CROP_0604,310,Aves,Erithacus,Erithacus,eDNA,FALSE,0.010499932,Erithacus_rubecula
CROP_0606,330,Aves,Erithacus,Erithacus,eDNA,FALSE,0.011733333,Erithacus_rubecula
CROP_0609,187,Aves,Erithacus,Erithacus,eDNA,FALSE,0.007839027,Erithacus_rubecula
CROP_0708,151,Aves,Erithacus,Erithacus,eDNA,FALSE,0.004188278,Erithacus_rubecula
CROP_1009,113,Aves,Erithacus,Erithacus,eDNA,FALSE,0.001697436,Erithacus_rubecula
CROP_1101,257,Aves,Erithacus,Erithacus,eDNA,FALSE,0.003330353,Erithacus_rubecula
CROP_1302,127,Aves,Erithacus,Erithacus,eDNA,FALSE,0.002255733,Erithacus_rubecula
CROP_1304,585,Aves,Erithacus,Erithacus,eDNA,FALSE,0.009194788,Erithacus_rubecula
CROP_0809,2,Aves,Erithacus_rubecula,Erithacus,camera,TRUE,0.08,Erithacus_rubecula
CROP_0104,33,Aves,Fringilla,Fringilla,eDNA,FALSE,0.001232309,Fringilla
CROP_0108,44,Aves,Fringilla,Fringilla,eDNA,FALSE,0.001765225,Fringilla
CROP_0406,157,Aves,Fringilla,Fringilla,eDNA,FALSE,0.001270525,Fringilla
CROP_0502,229,Aves,Fringilla,Fringilla,eDNA,FALSE,0.007434341,Fringilla
CROP_0602,243,Aves,Fringilla,Fringilla,eDNA,FALSE,0.006310541,Fringilla
CROP_0802,259,Aves,Fringilla,Fringilla,eDNA,FALSE,0.00410935,Fringilla
CROP_0902,325,Aves,Fringilla,Fringilla,eDNA,FALSE,0.003603224,Fringilla
CROP_1001,211,Aves,Fringilla,Fringilla,eDNA,FALSE,0.002282809,Fringilla
CROP_1002,474,Aves,Fringilla,Fringilla,eDNA,FALSE,0.005323689,Fringilla
CROP_1003,125,Aves,Fringilla,Fringilla,eDNA,FALSE,0.00227807,Fringilla
CROP_1009,105,Aves,Fringilla,Fringilla,eDNA,FALSE,0.001577263,Fringilla
CROP_1102,135,Aves,Fringilla,Fringilla,eDNA,FALSE,0.003848018,Fringilla
CROP_1208,168,Aves,Fringilla,Fringilla,eDNA,FALSE,0.003218391,Fringilla
CROP_0403,1,Aves,Fringilla_coelebs,Fringilla,camera,TRUE,0.009803922,Fringilla
CROP_0603,1,Aves,Fringilla_coelebs,Fringilla,camera,TRUE,0.008474576,Fringilla
CROP_1207,92,Aves,Gallinago,Gallinago,eDNA,FALSE,0.001759621,Gallinago_gallinago
CROP_0103,13,Aves,Gallinula,Gallinula,eDNA,FALSE,0.001095937,Gallinula_chloropus
CROP_0107,43,Aves,Gallinula,Gallinula,eDNA,FALSE,0.001657799,Gallinula_chloropus
CROP_0202,44,Aves,Gallinula,Gallinula,eDNA,FALSE,0.001529477,Gallinula_chloropus
CROP_0205,231,Aves,Gallinula,Gallinula,eDNA,FALSE,0.004406211,Gallinula_chloropus
CROP_0209,86,Aves,Gallinula,Gallinula,eDNA,FALSE,0.00144155,Gallinula_chloropus
CROP_0212,457,Aves,Gallinula,Gallinula,eDNA,FALSE,0.008547009,Gallinula_chloropus
CROP_0213,72,Aves,Gallinula,Gallinula,eDNA,FALSE,0.002407705,Gallinula_chloropus
CROP_0301,273,Aves,Gallinula,Gallinula,eDNA,FALSE,0.003086036,Gallinula_chloropus
CROP_0304,334,Aves,Gallinula,Gallinula,eDNA,FALSE,0.002966358,Gallinula_chloropus
CROP_0305,342,Aves,Gallinula,Gallinula,eDNA,FALSE,0.003542977,Gallinula_chloropus
CROP_0806,423,Aves,Gallinula,Gallinula,eDNA,FALSE,0.006782759,Gallinula_chloropus
CROP_1010,117,Aves,Gallinula,Gallinula,eDNA,FALSE,0.001382194,Gallinula_chloropus
CROP_1208,78,Aves,Gallinula,Gallinula,eDNA,FALSE,0.001494253,Gallinula_chloropus
CROP_1209,200,Aves,Gallinula,Gallinula,eDNA,FALSE,0.002527423,Gallinula_chloropus
CROP_1210,220,Aves,Gallinula,Gallinula,eDNA,FALSE,0.00376345,Gallinula_chloropus
CROP_0212,93,Aves,Garrulus,Garrulus,eDNA,FALSE,0.001739326,Garrulus_glandarius
CROP_0504,229,Aves,Garrulus,Garrulus,eDNA,FALSE,0.00885161,Garrulus_glandarius
CROP_0607,467,Aves,Garrulus,Garrulus,eDNA,FALSE,0.012431785,Garrulus_glandarius
CROP_0609,212,Aves,Garrulus,Garrulus,eDNA,FALSE,0.008887026,Garrulus_glandarius
